temp,rain_1h,snow_1h,clouds_all,is_weekend,is_holiday,is_peak_hour,hour_sin,hour_cos,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,weather_main_grouped_Clouds,weather_main_grouped_Drizzle,weather_main_grouped_Fog,weather_main_grouped_Haze,weather_main_grouped_Mist,weather_main_grouped_Other,weather_main_grouped_Rain,weather_main_grouped_Snow,weather_main_grouped_Thunderstorm
-0.39011890131473154,-0.09612523755919114,-0.021783134943751507,1.183753567034296,0,0,0,1.0010822604038392,0.9915324706790843,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.12804874672879388,-0.09612523755919114,-0.021783134943751507,0.7959392676203553,1,0,0,-0.00044761977061602863,1.4051253153341081,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
-1.2557908696700313,-0.09612523755919114,-0.021783134943751507,-1.1172779428217525,0,0,0,0.3661377590224198,-1.3709473372510763,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.2572556185183252,-0.09612523755919114,-0.021783134943751507,-1.1431322294493487,1,0,0,-1.0019774999450708,-1.0054704390541704,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-0.04247481870073678,-0.09612523755919114,-0.021783134943751507,-1.1172779428217525,1,0,0,-1.0019774999450717,0.991532470679084,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.9998331385146683,-0.09612523755919114,-0.021783134943751507,1.183753567034296,1,0,0,-0.7086361896029244,1.2159405517373985,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.7926350325016814,-0.09612523755919114,-0.021783134943751507,0.7959392676203553,0,0,0,-1.0019774999450717,0.991532470679084,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
-0.7881904772309828,-0.09612523755919114,-0.021783134943751507,1.183753567034296,1,0,0,-0.00044761977061585516,-1.4190632837091937,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0.45950795553530405,0.21726365914758486,-0.021783134943751507,-1.1172779428217525,0,0,0,-0.00044761977061602863,1.4051253153341081,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.5672394184991999,-0.09612523755919114,-0.021783134943751507,-1.1172779428217525,0,0,0,1.2261709645184806,0.6990781655732827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.45033932038943997,-0.09612523755919114,-0.021783134943751507,0.7959392676203553,0,0,1,-1.0019774999450708,-1.0054704390541704,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1.2067517199231925,-0.09612523755919114,-0.021783134943751507,-1.1431322294493487,0,0,1,-1.368562878738107,-0.37244588238444915,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
